household_id,income,members,energy_cost,energy_ratio,is_poverty,region,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18
1,1872701.0,5,95859.0,0.0512,0,인천,112849.0,122901.0,96038.0,85737.0,73287.0,84147.0,97740.0,86835.0,86617.0,90339.0,100763.0,117260.0,115914.0,119044.0,121851.0,118205.0,123825.0,124124.0
2,4299702.0,5,162625.0,0.0378,0,경남,168067.0,206073.0,177409.0,138304.0,146043.0,149093.0,159482.0,145542.0,150505.0,149052.0,158991.0,199692.0,197966.0,204229.0,204232.0,217656.0,215534.0,210220.0
3,1632704.0,6,98996.0,0.0606,0,경기,113187.0,117006.0,96261.0,85889.0,82208.0,93805.0,100697.0,85756.0,90540.0,92235.0,100427.0,127529.0,134116.0,134925.0,126946.0,130990.0,135680.0,140456.0
4,477051.0,6,131296.0,0.2752,1,전북,157124.0,168239.0,137364.0,124095.0,113619.0,114355.0,133668.0,134323.0,117955.0,134489.0,119803.0,170864.0,173174.0,172197.0,176636.0,163571.0,177831.0,183703.0
5,2699205.0,5,107200.0,0.0397,0,충남,121972.0,125894.0,115382.0,102067.0,92291.0,97997.0,114553.0,102733.0,94988.0,105267.0,111115.0,131535.0,139619.0,132599.0,121092.0,138687.0,135927.0,137815.0
6,1220628.0,3,130801.0,0.1072,1,광주,164607.0,158331.0,139109.0,117282.0,100514.0,117565.0,131195.0,139565.0,116588.0,126134.0,137102.0,153947.0,162594.0,161749.0,163583.0,154281.0,170714.0,154033.0
7,1994122.0,1,87679.0,0.044,0,경남,110581.0,105641.0,90146.0,82295.0,77203.0,75157.0,85329.0,87862.0,80600.0,73010.0,94282.0,114676.0,111942.0,120138.0,126963.0,121154.0,117397.0,119016.0
8,2776004.0,4,115207.0,0.0415,0,울산,139116.0,139302.0,117330.0,99297.0,101922.0,106132.0,113563.0,115277.0,108114.0,119235.0,124396.0,142825.0,143428.0,134408.0,147996.0,148444.0,141987.0,151241.0
9,4246117.0,1,127015.0,0.0299,0,전남,150700.0,175747.0,124573.0,118431.0,109668.0,114653.0,132798.0,120485.0,103246.0,115552.0,142464.0,168073.0,167220.0,174888.0,192393.0,174578.0,176395.0,179516.0
10,4574322.0,3,236930.0,0.0518,0,대전,270731.0,289172.0,275133.0,229726.0,191829.0,206873.0,235612.0,205399.0,198935.0,206832.0,234500.0,316740.0,308963.0,309802.0,337762.0,323489.0,338146.0,325965.0
11,1467959.0,2,252528.0,0.172,1,대구,297886.0,350000.0,272723.0,240180.0,224888.0,234678.0,248548.0,249006.0,218493.0,237061.0,258720.0,316953.0,349761.0,299145.0,335423.0,308367.0,326518.0,350000.0
12,2611216.0,5,117886.0,0.0451,0,경남,135246.0,145132.0,121358.0,108421.0,108539.0,102176.0,117254.0,109269.0,114548.0,109562.0,119245.0,143096.0,143743.0,141326.0,145217.0,149756.0,149557.0,156729.0
13,914330.0,5,119983.0,0.1312,1,강원,152622.0,151413.0,116412.0,105371.0,108446.0,104164.0,122646.0,118399.0,102980.0,113645.0,105565.0,142297.0,142268.0,137899.0,156137.0,139524.0,146782.0,151624.0
14,3129300.0,2,175260.0,0.056,0,인천,221034.0,214664.0,189247.0,158903.0,157704.0,161925.0,181824.0,181556.0,159524.0,164241.0,188129.0,231521.0,238526.0,246170.0,232086.0,232421.0,237797.0,232971.0
15,1682771.0,2,129744.0,0.0771,0,대구,144809.0,162307.0,138663.0,112724.0,115243.0,118564.0,135017.0,127137.0,111929.0,119804.0,141321.0,167129.0,168660.0,171272.0,180941.0,169702.0,179326.0,175724.0
16,1192984.0,5,234977.0,0.197,1,경북,261754.0,263052.0,242705.0,245887.0,184301.0,202568.0,239583.0,221838.0,209363.0,245827.0,236200.0,293512.0,298841.0,289745.0,284896.0,308541.0,330545.0,316157.0
17,714958.0,2,259241.0,0.3626,1,강원,298955.0,312026.0,252612.0,228843.0,230119.0,230591.0,259816.0,231796.0,238514.0,228279.0,276148.0,321018.0,301619.0,341446.0,328481.0,350000.0,350000.0,328308.0
18,4531772.0,6,173156.0,0.0382,0,서울,198945.0,204789.0,184748.0,149395.0,151005.0,167784.0,172215.0,167803.0,161218.0,161198.0,183851.0,216582.0,219602.0,214083.0,223298.0,229732.0,240611.0,238386.0
19,3137790.0,6,146050.0,0.0465,0,전북,171039.0,177096.0,146639.0,129902.0,118015.0,128217.0,137221.0,149772.0,126471.0,132677.0,143189.0,175523.0,173769.0,178680.0,176122.0,170857.0,173134.0,191113.0
20,4554636.0,5,285133.0,0.0626,0,대구,350000.0,312557.0,301516.0,269927.0,238609.0,241610.0,283593.0,291559.0,248719.0,290328.0,303262.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0
21,3785406.0,3,111837.0,0.0295,0,경남,121747.0,133249.0,118135.0,103242.0,98444.0,94993.0,103258.0,113033.0,102326.0,102269.0,126536.0,140605.0,148710.0,143804.0,156761.0,156496.0,146165.0,154833.0
22,2400230.0,5,205077.0,0.0854,0,충북,224461.0,254534.0,226727.0,168339.0,164003.0,165751.0,202315.0,201813.0,198434.0,195545.0,232866.0,238658.0,224620.0,242890.0,249594.0,247879.0,229867.0,252075.0
23,2898250.0,3,68966.0,0.0238,0,경북,74944.0,84777.0,75120.0,61167.0,64645.0,61078.0,67426.0,63959.0,59538.0,63686.0,67222.0,85382.0,86434.0,79137.0,87585.0,88947.0,91496.0,94866.0
24,2558285.0,3,280218.0,0.1095,1,인천,320441.0,332547.0,303264.0,261748.0,231868.0,244935.0,276364.0,235568.0,233090.0,284401.0,318429.0,345911.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0
25,1985819.0,1,234351.0,0.118,1,전북,273006.0,263068.0,226869.0,213096.0,195715.0,188657.0,250089.0,208077.0,238054.0,215687.0,251009.0,317062.0,339183.0,349096.0,306678.0,314763.0,335925.0,347375.0
26,1651742.0,1,109307.0,0.0662,0,충남,121613.0,127973.0,111373.0,94126.0,93136.0,94289.0,110785.0,103581.0,97201.0,99129.0,111462.0,141794.0,146081.0,138974.0,146628.0,151898.0,138942.0,153568.0
27,1025388.0,2,130920.0,0.1277,1,인천,152664.0,135573.0,134314.0,116021.0,102801.0,122528.0,123463.0,126039.0,134228.0,114355.0,136445.0,160316.0,158020.0,168495.0,172433.0,171875.0,163461.0,186478.0
28,1744341.0,1,262682.0,0.1506,1,울산,293630.0,338939.0,268805.0,221734.0,225328.0,240588.0,269668.0,258236.0,242515.0,255481.0,267903.0,317176.0,329860.0,326670.0,337410.0,307336.0,326364.0,350000.0
29,1884722.0,3,206025.0,0.1093,1,서울,209370.0,265906.0,196198.0,194666.0,181136.0,163732.0,182445.0,209743.0,196685.0,187104.0,206788.0,264132.0,266638.0,280778.0,277275.0,292092.0,288101.0,288052.0
30,167662.0,6,228516.0,1.363,1,강원,284370.0,273687.0,240986.0,195923.0,186669.0,183077.0,229146.0,244288.0,195190.0,249395.0,256909.0,278881.0,281977.0,282922.0,306851.0,296034.0,306670.0,299849.0
31,1712621.0,6,150213.0,0.0877,0,전남,178397.0,179754.0,159931.0,127584.0,143295.0,136065.0,151034.0,147881.0,138443.0,144300.0,151490.0,192192.0,208727.0,206586.0,210573.0,195793.0,193814.0,202699.0
32,931604.0,1,133037.0,0.1428,1,충북,144925.0,153821.0,128629.0,128207.0,108578.0,123689.0,136198.0,134719.0,118476.0,120397.0,128822.0,143142.0,145507.0,150534.0,150218.0,139758.0,156545.0,147493.0
